姓名,性别,年龄,婚姻状况,受教育程度,人生阶段,是否有车,通勤距离,通勤方式,职业,家庭编号,预期行为,行为时间,回家时间,house_ue_id,AGE,SEX,IDENTITY_ID,id,age_type
蔡倩霞,女,5,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,80,去学校,7时33分,16时4分,YSHY_10_1_002F_03,5,女性,b43a2294-f201-4eb2-b91f-469f38c7ccb7,b43a2294-f201-4eb2-b91f-469f38c7ccb7,child
田峰,男,63,未婚,小学及以下,退休,有车,15分钟内,驾车,建筑,1317,去小区商场,9时50分,14时29分,YSHY_8_1_005F_04,63,男性,7ebeab54-4050-414e-8563-4f4d51738cab,7ebeab54-4050-414e-8563-4f4d51738cab,old
田莉艳,女,33,未婚,小学及以下,上班族,有车,15分钟内,驾车,制造业,694,去工作地,7时57分,17时34分,YSHY_4_1_019F_04,33,女性,0fc44f5a-12bd-4546-833b-1cfef38dfece,0fc44f5a-12bd-4546-833b-1cfef38dfece,teenager
曹俊刚,男,7,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,1201,去学校,7时31分,16时0分,YSHY_12_1_022F_02,7,男性,ea4bf5e2-42ba-430e-a3b0-652fddd7022d,ea4bf5e2-42ba-430e-a3b0-652fddd7022d,child
潘鹏晓,男,55,已婚,初中,上班族,无车,15-30分钟,驾车,科研,1,去工作地,8时3分,18时29分,YSHY_7_1_008F_02,55,男性,f3898305-efd2-4379-a879-4926eaeefbf4,f3898305-efd2-4379-a879-4926eaeefbf4,old
许宇舟,男,99,未婚,小学及以下,上班族,有车,15分钟内,公共交通,制造业,1318,去工作地,7时45分,17时55分,YSHY_11_1_016F_02,99,男性,c9fc54f1-cb7f-47ff-a542-427e254504a3,c9fc54f1-cb7f-47ff-a542-427e254504a3,old
谢钊磊,男,86,未婚,小学及以下,上班族,无车,60分钟以上,驾车,制造业,1319,去工作地,7时33分,18时5分,YSHY_3_1_023F_03,86,男性,228817f8-dd10-44b1-8361-4c91f2522ceb,228817f8-dd10-44b1-8361-4c91f2522ceb,old
许豪,男,26,已婚,高中,上班族,有车,15-30分钟,驾车,信息/软件技术,2,去工作地,7时53分,18时57分,YSHY_5_1_002F_04,26,男性,5d010e69-8dfb-4bd0-9750-b004518aae25,5d010e69-8dfb-4bd0-9750-b004518aae25,teenager
张宗,男,32,已婚,小学及以下,上班族,有车,15分钟内,驾车,金融,3,去工作地,8时5分,19时34分,YSHY_10_1_016F_01,32,男性,8967d9de-4b45-4582-9689-28e8b2084dbc,8967d9de-4b45-4582-9689-28e8b2084dbc,teenager
杜宗,男,41,未婚,小学及以下,上班族,无车,60分钟以上,公共交通,住宿/餐饮,1320,去工作地,7时40分,19时20分,YSHY_2_1_012F_01,41,男性,3a1966d2-b8d0-432c-8a48-741d90e475fb,3a1966d2-b8d0-432c-8a48-741d90e475fb,middle-aged
魏勇武,男,36,已婚,小学及以下,上班族,无车,30-60分钟,驾车,批发和零售,4,去工作地,7时42分,18时25分,YSHY_5_1_029F_01,36,男性,1a6c26b5-a784-4439-bf74-8b7efdb7cf5c,1a6c26b5-a784-4439-bf74-8b7efdb7cf5c,teenager
董武,男,18,未婚,小学及以下,上班族,有车,30-60分钟,驾车,制造业,883,去工作地,7时43分,19时48分,YSHY_7_1_018F_02,18,男性,65b68bff-65e3-41c5-8ce4-1513cf435ba4,65b68bff-65e3-41c5-8ce4-1513cf435ba4,child
孙莉,女,56,未婚,小学及以下,退休,有车,15分钟内,驾车,制造业,1321,去小区商场,9时54分,15时20分,YSHY_3_1_012F_04,56,女性,e651aa32-a67a-403d-b23b-bbfe130fecc9,e651aa32-a67a-403d-b23b-bbfe130fecc9,old
叶博,男,46,未婚,小学及以下,上班族,有车,30-60分钟,公共交通,科研,1322,去工作地,7时35分,19时15分,YSHY_8_1_020F_03,46,男性,65f95406-d360-4661-904e-602e9a9c83a6,65f95406-d360-4661-904e-602e9a9c83a6,middle-aged
唐健华,男,46,已婚,大专,自由职业,无车,15分钟内,骑车,卫生/公共安全,5,去小区公共场所,11时24分,14时54分,YSHY_4_1_006F_04,46,男性,a711eaa8-2d49-469f-81a3-4730e77e0265,a711eaa8-2d49-469f-81a3-4730e77e0265,middle-aged
张婷,女,80,已婚,小学及以下,上班族,有车,15分钟内,公共交通,教育,683,去工作地,7时25分,18时17分,YSHY_11_1_013F_04,80,女性,6fd5c328-2d46-4269-a758-96c2b2b5d632,6fd5c328-2d46-4269-a758-96c2b2b5d632,old
曾飞博,男,34,未婚,小学及以下,上班族,无车,30-60分钟,驾车,制造业,1323,去工作地,7时44分,17时48分,YSHY_5_1_002F_04,34,男性,20edd1ec-8fc3-4207-9111-047183def565,20edd1ec-8fc3-4207-9111-047183def565,teenager
沈萍,女,38,未婚,小学及以下,上班族,有车,30-60分钟,公共交通,租赁/商务服务,1324,去工作地,8时4分,19时52分,YSHY_2_1_011F_03,38,女性,15b27dae-10f1-4796-9342-c7ed2ad253b4,15b27dae-10f1-4796-9342-c7ed2ad253b4,teenager
何健涵,男,89,未婚,初中,上班族,有车,60分钟以上,驾车,社会保障/公共管理,1325,去工作地,8时14分,19时57分,YSHY_2_1_025F_02,89,男性,798e6dac-27d1-47b8-a3e6-180e0d3760ea,798e6dac-27d1-47b8-a3e6-180e0d3760ea,old
蔡洁,女,29,未婚,小学及以下,上班族,无车,30-60分钟,公共交通,制造业,834,去工作地,7时57分,18时23分,YSHY_13_1_011F_04,29,女性,26fcabe6-c59a-4d3c-b61e-d4f176e25921,26fcabe6-c59a-4d3c-b61e-d4f176e25921,teenager
梁慧莉,女,10,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,454,去学校,7时28分,16时53分,YSHY_5_1_002F_02,10,女性,1d54c0a9-0a76-44a8-959e-6fa41a6dec64,1d54c0a9-0a76-44a8-959e-6fa41a6dec64,child
